[2021/Jul/21 14:47:35] 60356 | 95c757e2-b2a6-4637-8314-1545995a960c |127.0.0.1 | 400 - 196.099µs | GET | /api/v1/bod/all
[2021/Jul/21 14:47:37] 60356 | 97c757e2-b2a6-4637-8314-1545995a960c |127.0.0.1 | 400 - 16.398µs | GET | /api/v1/bod/all
[2021/Jul/21 15:16:48] 64044 | ece59406-7ce3-4597-b089-b3e3cb7e9195 | 127.0.0.1| 400 - 259.461µs | GET | /api/v1/bod/all
[2021/Jul/21 15:17:26] 64172 | fa2f72cc-0351-4da5-8920-ece8f631938e | 127.0.0.1| 400 - 204.135µs | GET | /api/v1/bod/all
[2021/Jul/21 15:18:09] 64172 | fc2f72cc-0351-4da5-8920-ece8f631938e | 127.0.0.1| 400 - 56.561µs | GET | /api/v1/bod/all
[2021/Jul/21 15:20:16] 64508 | e5ca2fea-7744-4f33-b811-654fa70fa98a | 127.0.0.1| 400 - 281.981µs | GET | /api/v1/bod/all
[2021/Jul/21 15:22:01] 64742 | d8638ae5-dbbf-4ca8-8584-67847a0cbb8b | 127.0.0.1| 400 - 283.149µs | GET | /api/v1/bod/all
[2021/Jul/21 15:32:33] 65893 | a3d05955-d7ee-4f17-8b4a-12af1e245bf1 | 127.0.0.1| 400 - 271.013µs | GET | /api/v1/bod/all
[2021/Jul/21 15:36:03] 66290 | 3ddfc3de-2f53-48b2-8f76-ec4b9525770d | 127.0.0.1| 400 - 229.223µs | GET | /api/v1/bod/all
[2021/Jul/21 15:37:46] 66447 | 8416e26e-de81-4d27-b5fb-eb03dcc4bac6 | 127.0.0.1| 200 - 48.23442ms | GET | /api/v1/bod/all
[2021/Jul/21 15:38:44] 66447 | 8616e26e-de81-4d27-b5fb-eb03dcc4bac6 | 127.0.0.1| 200 - 240.393291ms | GET | /api/v1/bod/all
[2021/Jul/21 15:51:27] 67725 | 2e77f150-a581-46a2-9154-5e2ad2a88fd2 | 127.0.0.1| 200 - 50.41091ms | GET | /api/v1/bod/all
[2021/Jul/21 17:55:02] 4851 | 53419064-f914-4d3c-bb37-9fecbc722a86 | 127.0.0.1| 400 - 695.745µs | GET | /api/v1/bod/all
[2021/Jul/21 17:59:22] 5150 | 59a02c88-5f96-4fff-90b5-762ad4a18f26 | 127.0.0.1| 400 - 414.406µs | GET | /api/v1/bod/all
[2021/Jul/21 17:59:56] 5246 | 91a33cf3-90c4-459f-81d4-bde254c263e4 | 127.0.0.1| 400 - 575.252µs | GET | /api/v1/bod/all
[2021/Jul/21 18:00:59] 5369 | 00fd56d2-1f26-44e7-8b0a-36f9ec629c8d | 127.0.0.1| 400 - 636.412µs | GET | /api/v1/bod/all
[2021/Jul/21 18:02:59] 5458 | fa95cd4d-d8b2-44be-bf5d-ea095a943602 | 127.0.0.1| 400 - 294.208µs | GET | /api/v1/bod/all
[2021/Jul/21 18:06:21] 5458 | fc95cd4d-d8b2-44be-bf5d-ea095a943602 | 127.0.0.1| 400 - 159.177µs | GET | /api/v1/bod/all
[2021/Jul/21 18:06:29] 5458 | fe95cd4d-d8b2-44be-bf5d-ea095a943602 | 127.0.0.1| 400 - 105.967µs | GET | /api/v1/bod/all
[2021/Jul/21 18:06:44] 5458 | 0096cd4d-d8b2-44be-bf5d-ea095a943602 | 127.0.0.1| 400 - 95.457µs | GET | /api/v1/bod/all
[2021/Jul/21 18:11:41] 5714 | 098b600a-b08d-470e-880f-003656132cb3 | 127.0.0.1| 500 - 508.806µs | GET | /api/v1/bod/all
[2021/Jul/23 08:32:36] 7644 | 370892b5-b740-4f4f-89a7-dd6b75e8a184 | 127.0.0.1| 500 - 226.057µs | GET | /api/v1/bod
[2021/Jul/23 08:43:34] 8836 | 8dce80d7-ee50-4ab4-a819-f5ebea873d02 | 127.0.0.1| 500 - 255.428µs | GET | /api/v1/bod
[2021/Jul/23 08:48:38] 9166 | a6f7c5ff-c4a6-4fbf-be88-2e026d997381 | 127.0.0.1| 200 - 411.892µs | GET | /api/v1/bod
[2021/Jul/23 08:48:41] 9166 | a8f7c5ff-c4a6-4fbf-be88-2e026d997381 | 127.0.0.1| 200 - 50.148µs | GET | /api/v1/bod
[2021/Jul/23 09:54:02] 4256 | 4d527df2-c0a8-4ef3-910b-f0891ab30b97 | 127.0.0.1| 500 - 356.736µs | GET | /api/v1/bod
[2021/Jul/23 10:01:03] 4658 | 16ca2105-b4d6-4c8f-bf44-d798b3dda5a5 | 127.0.0.1| 500 - 261.712µs | GET | /api/v1/bod
[2021/Jul/23 10:15:32] 5087 | 82ff53aa-5c02-4e6d-b300-d2df492cf6e2 | 127.0.0.1| 500 - 235.301µs | GET | /api/v1/bod
